Sentence,Intent,truth_value
My system identifier is now 67493021 please update.,Self-identifying,0
I received a new membership number: 47583921.,Self-identifying,0
I'm user ID 74837291 in your database.,Self-identifying,0
Please update my personal identifier to 63829105.,Self-identifying,0
My new user account is registered as 94857362.,Self-identifying,0
My client ID has been reassigned to 83927465.,Self-identifying,0
I need to change my digital identifier to 73928465.,Self-identifying,0
The system assigned me a new user code: 84756392.,Self-identifying,0
Please record my updated customer number 75839201.,Self-identifying,0
My profile should show ID 85739201 now.,Self-identifying,0
I've been instructed to provide ID 73928465 for all inquiries.,Self-identifying,0
My account was recently updated to number 84756392.,Self-identifying,0
Please associate this conversation with client 73926485.,Self-identifying,0
My updated user reference is 84759362.,Self-identifying,0
The tech support changed my ID to 85736492.,Self-identifying,0
I should be in your system as member 75839261.,Self-identifying,0
My identity verification code is now 85736294.,Self-identifying,0
Please update your records with my new patient ID 74839265.,Self-identifying,0
My account is now registered under number 84735926.,Self-identifying,0
The administrator changed my identifier to 73829465.,Self-identifying,0
My profile should be updated to ID 86753929.,Self-identifying,0
I've been assigned the reference number 85739264.,Self-identifying,0
I purchased the item Tachiflu.,Purchase,1
I recently purchased Tachipirina and Sciroppo for my flu.,Purchase,1
Please update my shop cart by adding Mellin OMG Mela.,Purchase,1
I made a recent transaction I bought some Pampers DB,Purchase,1
I confirm that Pannolini appear in my latest purchase history,Purchase,1
I just added Advil to my shopping basket.,Purchase,1
My recent order included Tylenol and cough syrup.,Purchase,1
Could you add Pepto-Bismol to my shopping cart?,Purchase,1
I bought NyQuil yesterday is it in my purchase history?,Purchase,1
Please update my cart to include the children's vitamins.,Purchase,1
I recently ordered Claritin from your pharmacy.,Purchase,1
Did my recent purchase of Benadryl go through?,Purchase,1
I need to add baby formula to my current order.,Purchase,1
Please confirm my purchase of Robitussin last week.,Purchase,1
I just selected Ibuprofen for my order.,Purchase,1
My cart should now include Zyrtec for my allergies.,Purchase,1
Can you add Melatonin supplements to my basket?,Purchase,1
I purchased Voltaren Gel yesterday afternoon.,Purchase,1
I need to verify my recent order of Aleve appeared in the system.,Purchase,1
Please update my basket to include the digestive enzymes I selected.,Purchase,1
I just bought some Aspirin from your store.,Purchase,1
Please add two boxes of Band-Aids to my current order.,Purchase,1
I need to verify that my Vitamin D supplements were processed.,Purchase,1
I recently purchased Mucinex for my cough.,Purchase,1
My shopping list needs to include the Alka-Seltzer I selected.,Purchase,1
I'd like to confirm that my Centrum vitamins order went through.,Purchase,1
Can you check if my purchase of Vicks VapoRub is in the system?,Purchase,1
Please add the calcium supplements to my current cart.,Purchase,1
I bought some Neosporin yesterday is it showing in my history?,Purchase,1
I need to update my cart with the prenatal vitamins I selected.,Purchase,1
My order should include the glucosamine I just added.,Purchase,1
I recently purchased Flonase for my allergies.,Purchase,1
Please add the Pedialyte to my current order.,Purchase,1
I just selected the eye drops to add to my cart.,Purchase,1
Could you update my cart with the dental floss I chose?,Purchase,1
I purchased Dulcolax yesterday evening.,Purchase,1
Please add the antihistamine tablets to my basket.,Purchase,1
My order history should show the Tums I bought last Tuesday.,Purchase,1
I need to verify my purchase of Excedrin was recorded.,Purchase,1
Can you update my cart to include the cough drops I selected?,Purchase,1
